set;model;epochs;loss;accuracy;val_loss;val_accuracy
DistalPhalanxTW;encoder;20;0.6563;0.7625;1.0063;0.6331
DistalPhalanxTW;encoder;100;0.4355;0.8450;0.7903;0.6978
DistalPhalanxTW;encoder;500;0.2283;0.9125;0.9456;0.6547
DistalPhalanxTW;encoder;1000;0.0918;0.9750;1.2893;0.6331
Earthquakes;inception;20;0.0370;0.9969;1.5184;0.2518
Earthquakes;inception;100;0.0065;1.0000;0.5870;0.7266
Earthquakes;inception;500;1.3403e-04;1.0000;1.4678;0.7482
Earthquakes;inception;1000;9.3842e-05;1.0000;1.2278;0.7482
Earthquakes;cnn;20;0.3541;0.8385;0.6798;0.7482
Earthquakes;cnn;100;0.1716;0.9720;1.5431;0.7482
Earthquakes;cnn;500;0.0187;0.9969;1.0523;0.5827
Earthquakes;cnn;1000;0.0137;0.9969;2.3285;0.7482
Earthquakes;resnet;20;0.1209;0.9783;0.6444;0.7482
Earthquakes;resnet;100;0.0625;0.9969;2.8610;0.7482
Earthquakes;resnet;500;0.0017;1.0000;1.1694;0.6763
Earthquakes;resnet;1000;3.3143e-04;1.0000;1.6889;0.7410
Earthquakes;encoder;20;0.4482;0.8199;0.6043;0.7482
Earthquakes;encoder;100;0.1208;0.9845;0.5755;0.7482
Earthquakes;encoder;500;0.0012;1.0000;1.1782;0.7482
Earthquakes;encoder;1000;1.4438e-04;1.0000;1.4470;0.7482
ECG200;inception;20;0.0112;1.0000;0.9082;0.3600
ECG200;inception;100;1.6593e-04;1.0000;2.6794;0.3600
ECG200;inception;500;1.0897e-04;1.0000;0.4551;0.9200
ECG200;inception;1000;3.5522e-05;1.0000;0.4954;0.9200
ECG200;cnn;20;0.1462;0.9700;0.8211;0.3600
ECG200;cnn;100;0.0158;1.0000;2.9269;0.3600
ECG200;cnn;500;0.0034;1.0000;0.4666;0.8800
ECG200;cnn;1000;0.0012;1.0000;1.9263;0.7200
ECG200;resnet;20;0.0078;1.0000;0.7066;0.4000
ECG200;resnet;100;0.0026;1.0000;2.2674;0.3600
ECG200;resnet;500;2.0718e-04;1.0000;0.6460;0.8600
ECG200;resnet;1000;5.2688e-04;1.0000;0.6326;0.8700
ECG200;encoder;20;0.3783;0.8100;0.4276;0.7900
ECG200;encoder;100;0.1480;0.9600;0.2916;0.8900
ECG200;encoder;500;0.0068;1.0000;0.3167;0.9200
ECG200;encoder;1000;8.9891e-04;1.0000;0.3723;0.9100
ECG5000;inception;20;0.0857;0.9820;0.6478;0.8571
ECG5000;inception;100;0.0043;1.0000;0.7811;0.7918
ECG5000;inception;500;2.0246e-04;1.0000;0.3765;0.9396
ECG5000;inception;1000;1.0612e-04;1.0000;0.3936;0.9402
ECG5000;cnn;20;0.1903;0.9460;2.3413;0.0191
ECG5000;cnn;100;0.0714;0.9780;0.2597;0.9364
ECG5000;cnn;500;3.6574e-04;1.0000;0.4787;0.9340
ECG5000;cnn;1000;2.2826e-04;1.0000;0.5141;0.9351
ECG5000;resnet;20;0.0686;0.9780;1.0887;0.4284
ECG5000;resnet;100;0.0043;1.0000;0.4046;0.9429
ECG5000;resnet;500;1.2917e-04;1.0000;0.4871;0.9373
ECG5000;resnet;1000;9.3157e-05;1.0000;0.5386;0.9369
ECG5000;encoder;20;0.1715;0.9480;0.2108;0.9380
ECG5000;encoder;100;0.0493;0.9840;0.1949;0.9409
ECG5000;encoder;500;9.5471e-04;1.0000;0.3042;0.9398
ECG5000;encoder;1000;2.0873e-04;1.0000;0.3715;0.9389
ECGFiveDays;inception;20;0.0047;1.0000;0.0313;0.9884
ECGFiveDays;inception;100;0.0447;0.9565;0.0177;1.0000
ECGFiveDays;inception;500;2.4784e-04;1.0000;1.9948e-04;1.0000
ECGFiveDays;inception;1000;8.1259e-04;1.0000;4.0557e-05;1.0000
ECGFiveDays;cnn;20;0.3241;0.8261;0.6267;0.7050
ECGFiveDays;cnn;100;0.0135;1.0000;0.7335;0.5029
ECGFiveDays;cnn;500;0.0038;1.0000;3.2382;0.5029
ECGFiveDays;cnn;1000;5.1473e-04;1.0000;0.0380;0.9895
ECGFiveDays;resnet;20;0.0357;1.0000;0.6466;0.7143
ECGFiveDays;resnet;100;0.0029;1.0000;0.4938;0.8223
ECGFiveDays;resnet;500;2.1135e-04;1.0000;0.0228;0.9954
ECGFiveDays;resnet;1000;1.3550e-04;1.0000;0.0098;0.9954
ECGFiveDays;encoder;20;0.5975;0.6522;0.6638;0.5122
ECGFiveDays;encoder;100;0.1623;0.9565;0.2921;0.8688
ECGFiveDays;encoder;500;0.0024;1.0000;0.0345;0.9942
ECGFiveDays;encoder;1000;6.4453e-04;1.0000;0.0195;0.9977
ElectricDevices;inception;20;0.1793;0.9348;1.8155;0.6357
ElectricDevices;inception;100;0.0558;0.9792;5.8634;0.4788
ElectricDevices;inception;500;0.0161;0.9925;2.7916;0.6985
ElectricDevices;inception;1000;0.0125;0.9933;3.3597;0.6942
ElectricDevices;cnn;20;0.3755;0.8656;1.3848;0.7019
ElectricDevices;cnn;100;0.2294;0.9200;1.7033;0.7288
ElectricDevices;cnn;500;0.0988;0.9663;2.6794;0.7270
ElectricDevices;cnn;1000;0.0666;0.9776;3.3608;0.7376
ElectricDevices;resnet;20;0.2229;0.9219;1.3400;0.6768
ElectricDevices;resnet;100;0.0728;0.9743;2.1766;0.7213
ElectricDevices;resnet;500;0.0226;0.9901;4.0006;0.7201
ElectricDevices;resnet;1000;0.0165;0.9925;4.4838;0.7166
ElectricDevices;encoder;20;0.5758;0.8010;1.0567;0.6770
ElectricDevices;encoder;100;0.2310;0.9199;1.3109;0.6904
ElectricDevices;encoder;500;0.0547;0.9773;1.8867;0.7056
ElectricDevices;encoder;1000;0.0366;0.9841;2.2463;0.7000
FaceAll;inception;20;0.0243;1.0000;2.5200;0.2917
FaceAll;inception;100;0.0017;1.0000;1.9200;0.6746
FaceAll;inception;500;1.6002e-04;1.0000;1.2756;0.7722
FaceAll;inception;1000;5.3665e-05;1.0000;1.1630;0.7976
FaceAll;cnn;20;0.4061;0.9714;3.8795;0.0805
FaceAll;cnn;100;0.0164;1.0000;0.3216;0.9024
FaceAll;cnn;500;3.9742e-04;1.0000;0.2398;0.9213
FaceAll;cnn;1000;1.3545e-04;1.0000;0.2181;0.9314
FaceAll;resnet;20;0.0178;1.0000;2.6956;0.0970
FaceAll;resnet;100;6.3869e-04;1.0000;0.4568;0.8426
FaceAll;resnet;500;2.5699e-04;1.0000;0.5814;0.8266
FaceAll;resnet;1000;8.1034e-05;1.0000;0.5805;0.8361
FaceAll;encoder;20;1.1515;0.8036;1.5320;0.6367
FaceAll;encoder;100;0.0795;1.0000;0.7917;0.7799
FaceAll;encoder;500;0.0014;1.0000;0.6757;0.7988
FaceAll;encoder;1000;7.8384e-05;1.0000;0.6925;0.8053
FaceFour;inception;20;0.0320;1.0000;1.1345;0.2955
FaceFour;inception;100;0.0045;1.0000;5.1514;0.2500
FaceFour;inception;500;0.0074;1.0000;0.2743;0.9545
FaceFour;inception;1000;0.0045;1.0000;0.3014;0.9659
FaceFour;cnn;20;0.5648;0.8750;1.3576;0.1591
FaceFour;cnn;100;0.0885;1.0000;1.9214;0.2500
FaceFour;cnn;500;0.0033;1.0000;2.4996;0.4659
FaceFour;cnn;1000;0.0174;1.0000;0.3211;0.9205
FaceFour;resnet;20;0.0503;1.0000;1.3182;0.4545
FaceFour;resnet;100;0.0063;1.0000;1.3722;0.2727
FaceFour;resnet;500;0.0013;1.0000;0.2856;0.9545
FaceFour;resnet;1000;2.0263e-04;1.0000;0.2963;0.9545
FaceFour;encoder;20;1.1275;0.7500;1.2805;0.4773
FaceFour;encoder;100;0.1041;1.0000;0.7420;0.7273
FaceFour;encoder;500;0.0039;1.0000;0.5788;0.8182
FaceFour;encoder;1000;3.8398e-04;1.0000;0.5696;0.8409
FacesUCR;inception;20;0.2376;0.9900;1.9599;0.2459
FacesUCR;inception;100;0.0026;1.0000;1.9279;0.4546
FacesUCR;inception;500;3.5527e-04;1.0000;0.1618;0.9615
FacesUCR;inception;1000;2.4436e-04;1.0000;0.1605;0.9615
